sample_id,formula,reduced_formula,anonymous_formula,element_set,n_unique_elements,elements_json,element_counts_json,n_sites,target
10112,Ni1 Au1 N1 O1 F1,NiAuNOF,ABCDE,Au-F-N-Ni-O,5,"[""Au"", ""F"", ""N"", ""Ni"", ""O""]","{""Au"": 1.0, ""F"": 1.0, ""N"": 1.0, ""Ni"": 1.0, ""O"": 1.0}",5,1.46
10113,Mg1 Fe1 N2 O1,MgFeN2O,ABCD2,Fe-Mg-N-O,4,"[""Fe"", ""Mg"", ""N"", ""O""]","{""Fe"": 1.0, ""Mg"": 1.0, ""N"": 2.0, ""O"": 1.0}",5,2.38
10114,Zr1 W1 S1 O2,ZrWSO2,ABCD2,O-S-W-Zr,4,"[""O"", ""S"", ""W"", ""Zr""]","{""O"": 2.0, ""S"": 1.0, ""W"": 1.0, ""Zr"": 1.0}",5,1.66
10115,Re1 B1 N1 O2,ReBNO2,ABCD2,B-N-O-Re,4,"[""B"", ""N"", ""O"", ""Re""]","{""B"": 1.0, ""N"": 1.0, ""O"": 2.0, ""Re"": 1.0}",5,1.78
10116,K1 Mo1 O3,KMoO3,ABC3,K-Mo-O,3,"[""K"", ""Mo"", ""O""]","{""K"": 1.0, ""Mo"": 1.0, ""O"": 3.0}",5,-0.22
10117,Si2 O3,Si2O3,A2B3,O-Si,2,"[""O"", ""Si""]","{""O"": 3.0, ""Si"": 2.0}",5,1.04
10118,Pb1 Au1 O2 F1,PbAuO2F,ABCD2,Au-F-O-Pb,4,"[""Au"", ""F"", ""O"", ""Pb""]","{""Au"": 1.0, ""F"": 1.0, ""O"": 2.0, ""Pb"": 1.0}",5,1.2
10119,Hf1 Mn1 N1 O2,HfMnNO2,ABCD2,Hf-Mn-N-O,4,"[""Hf"", ""Mn"", ""N"", ""O""]","{""Hf"": 1.0, ""Mn"": 1.0, ""N"": 1.0, ""O"": 2.0}",5,1.04
10120,Zn1 Ir1 N1 O1 F1,ZnIrNOF,ABCDE,F-Ir-N-O-Zn,5,"[""F"", ""Ir"", ""N"", ""O"", ""Zn""]","{""F"": 1.0, ""Ir"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Zn"": 1.0}",5,1.46
10121,Re1 Sn1 N3,ReSnN3,ABC3,N-Re-Sn,3,"[""N"", ""Re"", ""Sn""]","{""N"": 3.0, ""Re"": 1.0, ""Sn"": 1.0}",5,0.7
10122,Nb1 Hg1 N3,NbHgN3,ABC3,Hg-N-Nb,3,"[""Hg"", ""N"", ""Nb""]","{""Hg"": 1.0, ""N"": 3.0, ""Nb"": 1.0}",5,2.72
10123,Tl1 Hg1 O3,TlHgO3,ABC3,Hg-O-Tl,3,"[""Hg"", ""O"", ""Tl""]","{""Hg"": 1.0, ""O"": 3.0, ""Tl"": 1.0}",5,1.7
10124,Cs1 Sc1 N2 O1,CsScN2O,ABCD2,Cs-N-O-Sc,4,"[""Cs"", ""N"", ""O"", ""Sc""]","{""Cs"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Sc"": 1.0}",5,2.02
10125,Zr1 In1 N2 O1,ZrInN2O,ABCD2,In-N-O-Zr,4,"[""In"", ""N"", ""O"", ""Zr""]","{""In"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Zr"": 1.0}",5,1.28
10126,Ag1 W1 N2 O1,AgWN2O,ABCD2,Ag-N-O-W,4,"[""Ag"", ""N"", ""O"", ""W""]","{""Ag"": 1.0, ""N"": 2.0, ""O"": 1.0, ""W"": 1.0}",5,1.8
10127,Mn1 Cu1 N1 O1 F1,MnCuNOF,ABCDE,Cu-F-Mn-N-O,5,"[""Cu"", ""F"", ""Mn"", ""N"", ""O""]","{""Cu"": 1.0, ""F"": 1.0, ""Mn"": 1.0, ""N"": 1.0, ""O"": 1.0}",5,1.42
10128,B1 Ir1 N1 O1 F1,BIrNOF,ABCDE,B-F-Ir-N-O,5,"[""B"", ""F"", ""Ir"", ""N"", ""O""]","{""B"": 1.0, ""F"": 1.0, ""Ir"": 1.0, ""N"": 1.0, ""O"": 1.0}",5,2.56
10129,Ta1 Te1 N1 O2,TaTeNO2,ABCD2,N-O-Ta-Te,4,"[""N"", ""O"", ""Ta"", ""Te""]","{""N"": 1.0, ""O"": 2.0, ""Ta"": 1.0, ""Te"": 1.0}",5,2.18
10130,Cu1 Ag1 N1 O1 F1,CuAgNOF,ABCDE,Ag-Cu-F-N-O,5,"[""Ag"", ""Cu"", ""F"", ""N"", ""O""]","{""Ag"": 1.0, ""Cu"": 1.0, ""F"": 1.0, ""N"": 1.0, ""O"": 1.0}",5,1.36
10131,Li1 Ni1 N3,LiNiN3,ABC3,Li-N-Ni,3,"[""Li"", ""N"", ""Ni""]","{""Li"": 1.0, ""N"": 3.0, ""Ni"": 1.0}",5,2.14
10132,Hf1 V1 N3,HfVN3,ABC3,Hf-N-V,3,"[""Hf"", ""N"", ""V""]","{""Hf"": 1.0, ""N"": 3.0, ""V"": 1.0}",5,0.82
10133,Y1 Be1 O2 F1,YBeO2F,ABCD2,Be-F-O-Y,4,"[""Be"", ""F"", ""O"", ""Y""]","{""Be"": 1.0, ""F"": 1.0, ""O"": 2.0, ""Y"": 1.0}",5,1.78
10134,Zn1 Re1 N1 O2,ZnReNO2,ABCD2,N-O-Re-Zn,4,"[""N"", ""O"", ""Re"", ""Zn""]","{""N"": 1.0, ""O"": 2.0, ""Re"": 1.0, ""Zn"": 1.0}",5,0.66
10135,Ru1 Pt1 N1 O1 F1,RuPtNOF,ABCDE,F-N-O-Pt-Ru,5,"[""F"", ""N"", ""O"", ""Pt"", ""Ru""]","{""F"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Pt"": 1.0, ""Ru"": 1.0}",5,1.8
10136,Na1 Cr1 N1 O1 F1,NaCrNOF,ABCDE,Cr-F-N-Na-O,5,"[""Cr"", ""F"", ""N"", ""Na"", ""O""]","{""Cr"": 1.0, ""F"": 1.0, ""N"": 1.0, ""Na"": 1.0, ""O"": 1.0}",5,1.92
10137,Ba1 Cd1 S1 O2,BaCdSO2,ABCD2,Ba-Cd-O-S,4,"[""Ba"", ""Cd"", ""O"", ""S""]","{""Ba"": 1.0, ""Cd"": 1.0, ""O"": 2.0, ""S"": 1.0}",5,1.02
10138,Al1 Au1 N1 O2,AlAuNO2,ABCD2,Al-Au-N-O,4,"[""Al"", ""Au"", ""N"", ""O""]","{""Al"": 1.0, ""Au"": 1.0, ""N"": 1.0, ""O"": 2.0}",5,2.0
10139,Cd1 Pb1 N2 O1,CdPbN2O,ABCD2,Cd-N-O-Pb,4,"[""Cd"", ""N"", ""O"", ""Pb""]","{""Cd"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Pb"": 1.0}",5,2.02
10140,Ag1 Bi1 O3,AgBiO3,ABC3,Ag-Bi-O,3,"[""Ag"", ""Bi"", ""O""]","{""Ag"": 1.0, ""Bi"": 1.0, ""O"": 3.0}",5,1.42
10141,Cu1 Pb1 N1 O1 F1,CuPbNOF,ABCDE,Cu-F-N-O-Pb,5,"[""Cu"", ""F"", ""N"", ""O"", ""Pb""]","{""Cu"": 1.0, ""F"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Pb"": 1.0}",5,1.64
10142,Hf1 Zr1 O2 F1,HfZrO2F,ABCD2,F-Hf-O-Zr,4,"[""F"", ""Hf"", ""O"", ""Zr""]","{""F"": 1.0, ""Hf"": 1.0, ""O"": 2.0, ""Zr"": 1.0}",5,1.18
10143,Sr1 Hf1 S1 O2,SrHfSO2,ABCD2,Hf-O-S-Sr,4,"[""Hf"", ""O"", ""S"", ""Sr""]","{""Hf"": 1.0, ""O"": 2.0, ""S"": 1.0, ""Sr"": 1.0}",5,0.44
10144,Ca1 Te1 N1 O1 F1,CaTeNOF,ABCDE,Ca-F-N-O-Te,5,"[""Ca"", ""F"", ""N"", ""O"", ""Te""]","{""Ca"": 1.0, ""F"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Te"": 1.0}",5,1.14
10145,Zn1 Cu1 N1 O2,ZnCuNO2,ABCD2,Cu-N-O-Zn,4,"[""Cu"", ""N"", ""O"", ""Zn""]","{""Cu"": 1.0, ""N"": 1.0, ""O"": 2.0, ""Zn"": 1.0}",5,1.74
10146,Ta1 Ag1 N3,TaAgN3,ABC3,Ag-N-Ta,3,"[""Ag"", ""N"", ""Ta""]","{""Ag"": 1.0, ""N"": 3.0, ""Ta"": 1.0}",5,1.16
10147,Zn1 Pd1 S1 O2,ZnPdSO2,ABCD2,O-Pd-S-Zn,4,"[""O"", ""Pd"", ""S"", ""Zn""]","{""O"": 2.0, ""Pd"": 1.0, ""S"": 1.0, ""Zn"": 1.0}",5,1.32
10148,Ta1 Si1 O2 F1,TaSiO2F,ABCD2,F-O-Si-Ta,4,"[""F"", ""O"", ""Si"", ""Ta""]","{""F"": 1.0, ""O"": 2.0, ""Si"": 1.0, ""Ta"": 1.0}",5,1.74
10149,Mo1 Ru1 O2 F1,MoRuO2F,ABCD2,F-Mo-O-Ru,4,"[""F"", ""Mo"", ""O"", ""Ru""]","{""F"": 1.0, ""Mo"": 1.0, ""O"": 2.0, ""Ru"": 1.0}",5,1.1
10150,Al1 Ge1 S1 O2,AlGeSO2,ABCD2,Al-Ge-O-S,4,"[""Al"", ""Ge"", ""O"", ""S""]","{""Al"": 1.0, ""Ge"": 1.0, ""O"": 2.0, ""S"": 1.0}",5,1.0
10151,Mn1 Re1 N1 O1 F1,MnReNOF,ABCDE,F-Mn-N-O-Re,5,"[""F"", ""Mn"", ""N"", ""O"", ""Re""]","{""F"": 1.0, ""Mn"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Re"": 1.0}",5,1.0
10152,Co2 N1 O1 F1,Co2NOF,ABCD2,Co-F-N-O,4,"[""Co"", ""F"", ""N"", ""O""]","{""Co"": 2.0, ""F"": 1.0, ""N"": 1.0, ""O"": 1.0}",5,1.3
10153,Ti1 B1 O2 F1,TiBO2F,ABCD2,B-F-O-Ti,4,"[""B"", ""F"", ""O"", ""Ti""]","{""B"": 1.0, ""F"": 1.0, ""O"": 2.0, ""Ti"": 1.0}",5,1.12
10154,Rb1 Ru1 O3,RbRuO3,ABC3,O-Rb-Ru,3,"[""O"", ""Rb"", ""Ru""]","{""O"": 3.0, ""Rb"": 1.0, ""Ru"": 1.0}",5,0.68
10155,Re1 Ag1 N1 O1 F1,ReAgNOF,ABCDE,Ag-F-N-O-Re,5,"[""Ag"", ""F"", ""N"", ""O"", ""Re""]","{""Ag"": 1.0, ""F"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Re"": 1.0}",5,0.6
10156,Mo1 Ru1 O3,MoRuO3,ABC3,Mo-O-Ru,3,"[""Mo"", ""O"", ""Ru""]","{""Mo"": 1.0, ""O"": 3.0, ""Ru"": 1.0}",5,1.26
10157,Mo1 Ir1 N3,MoIrN3,ABC3,Ir-Mo-N,3,"[""Ir"", ""Mo"", ""N""]","{""Ir"": 1.0, ""Mo"": 1.0, ""N"": 3.0}",5,1.2
10158,Tl1 Ru1 O2 F1,TlRuO2F,ABCD2,F-O-Ru-Tl,4,"[""F"", ""O"", ""Ru"", ""Tl""]","{""F"": 1.0, ""O"": 2.0, ""Ru"": 1.0, ""Tl"": 1.0}",5,0.64
10159,Mg1 Pt1 O3,MgPtO3,ABC3,Mg-O-Pt,3,"[""Mg"", ""O"", ""Pt""]","{""Mg"": 1.0, ""O"": 3.0, ""Pt"": 1.0}",5,1.82
10160,Rb1 Be1 N1 O1 F1,RbBeNOF,ABCDE,Be-F-N-O-Rb,5,"[""Be"", ""F"", ""N"", ""O"", ""Rb""]","{""Be"": 1.0, ""F"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Rb"": 1.0}",5,2.1
10161,Hf1 Nb1 O2 F1,HfNbO2F,ABCD2,F-Hf-Nb-O,4,"[""F"", ""Hf"", ""Nb"", ""O""]","{""F"": 1.0, ""Hf"": 1.0, ""Nb"": 1.0, ""O"": 2.0}",5,1.0
10162,Y1 Re1 N3,YReN3,ABC3,N-Re-Y,3,"[""N"", ""Re"", ""Y""]","{""N"": 3.0, ""Re"": 1.0, ""Y"": 1.0}",5,0.26
10163,Zn1 Ru1 N2 O1,ZnRuN2O,ABCD2,N-O-Ru-Zn,4,"[""N"", ""O"", ""Ru"", ""Zn""]","{""N"": 2.0, ""O"": 1.0, ""Ru"": 1.0, ""Zn"": 1.0}",5,1.86
10164,Mn1 Ru1 O3,MnRuO3,ABC3,Mn-O-Ru,3,"[""Mn"", ""O"", ""Ru""]","{""Mn"": 1.0, ""O"": 3.0, ""Ru"": 1.0}",5,0.84
10165,Ir1 Pb1 O2 F1,IrPbO2F,ABCD2,F-Ir-O-Pb,4,"[""F"", ""Ir"", ""O"", ""Pb""]","{""F"": 1.0, ""Ir"": 1.0, ""O"": 2.0, ""Pb"": 1.0}",5,2.04
10166,Ba1 Zr1 N1 O1 F1,BaZrNOF,ABCDE,Ba-F-N-O-Zr,5,"[""Ba"", ""F"", ""N"", ""O"", ""Zr""]","{""Ba"": 1.0, ""F"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Zr"": 1.0}",5,0.36
10167,Tl1 Pt1 O2 F1,TlPtO2F,ABCD2,F-O-Pt-Tl,4,"[""F"", ""O"", ""Pt"", ""Tl""]","{""F"": 1.0, ""O"": 2.0, ""Pt"": 1.0, ""Tl"": 1.0}",5,1.7
10168,Ti1 Zn1 O2 F1,TiZnO2F,ABCD2,F-O-Ti-Zn,4,"[""F"", ""O"", ""Ti"", ""Zn""]","{""F"": 1.0, ""O"": 2.0, ""Ti"": 1.0, ""Zn"": 1.0}",5,0.36
10169,Cu1 B1 N1 O2,CuBNO2,ABCD2,B-Cu-N-O,4,"[""B"", ""Cu"", ""N"", ""O""]","{""B"": 1.0, ""Cu"": 1.0, ""N"": 1.0, ""O"": 2.0}",5,2.36
10170,Sn1 W1 O3,SnWO3,ABC3,O-Sn-W,3,"[""O"", ""Sn"", ""W""]","{""O"": 3.0, ""Sn"": 1.0, ""W"": 1.0}",5,0.32
10171,Mn1 Ir1 N1 O2,MnIrNO2,ABCD2,Ir-Mn-N-O,4,"[""Ir"", ""Mn"", ""N"", ""O""]","{""Ir"": 1.0, ""Mn"": 1.0, ""N"": 1.0, ""O"": 2.0}",5,1.1
10172,B1 Pd1 S1 O2,BPdSO2,ABCD2,B-O-Pd-S,4,"[""B"", ""O"", ""Pd"", ""S""]","{""B"": 1.0, ""O"": 2.0, ""Pd"": 1.0, ""S"": 1.0}",5,2.12
10173,Ag1 Ir1 N1 O2,AgIrNO2,ABCD2,Ag-Ir-N-O,4,"[""Ag"", ""Ir"", ""N"", ""O""]","{""Ag"": 1.0, ""Ir"": 1.0, ""N"": 1.0, ""O"": 2.0}",5,1.5
10174,Sr1 Au1 O2 F1,SrAuO2F,ABCD2,Au-F-O-Sr,4,"[""Au"", ""F"", ""O"", ""Sr""]","{""Au"": 1.0, ""F"": 1.0, ""O"": 2.0, ""Sr"": 1.0}",5,1.9
10175,Cs2 N2 O1,Cs2N2O,AB2C2,Cs-N-O,3,"[""Cs"", ""N"", ""O""]","{""Cs"": 2.0, ""N"": 2.0, ""O"": 1.0}",5,3.54
10176,Hg2 S1 O2,Hg2SO2,AB2C2,Hg-O-S,3,"[""Hg"", ""O"", ""S""]","{""Hg"": 2.0, ""O"": 2.0, ""S"": 1.0}",5,1.76
10177,K1 Rh1 O2 F1,KRhO2F,ABCD2,F-K-O-Rh,4,"[""F"", ""K"", ""O"", ""Rh""]","{""F"": 1.0, ""K"": 1.0, ""O"": 2.0, ""Rh"": 1.0}",5,3.0
10178,Si1 Te1 N1 O1 F1,SiTeNOF,ABCDE,F-N-O-Si-Te,5,"[""F"", ""N"", ""O"", ""Si"", ""Te""]","{""F"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Si"": 1.0, ""Te"": 1.0}",5,1.84
10179,In1 Pd1 O2 F1,InPdO2F,ABCD2,F-In-O-Pd,4,"[""F"", ""In"", ""O"", ""Pd""]","{""F"": 1.0, ""In"": 1.0, ""O"": 2.0, ""Pd"": 1.0}",5,1.06
10180,Mg1 As1 N3,MgAsN3,ABC3,As-Mg-N,3,"[""As"", ""Mg"", ""N""]","{""As"": 1.0, ""Mg"": 1.0, ""N"": 3.0}",5,1.78
10181,Hg1 Pd1 O2 F1,HgPdO2F,ABCD2,F-Hg-O-Pd,4,"[""F"", ""Hg"", ""O"", ""Pd""]","{""F"": 1.0, ""Hg"": 1.0, ""O"": 2.0, ""Pd"": 1.0}",5,1.12
10182,Ni1 Ir1 S1 O2,NiIrSO2,ABCD2,Ir-Ni-O-S,4,"[""Ir"", ""Ni"", ""O"", ""S""]","{""Ir"": 1.0, ""Ni"": 1.0, ""O"": 2.0, ""S"": 1.0}",5,1.2
10183,Nb1 Bi1 N2 O1,NbBiN2O,ABCD2,Bi-N-Nb-O,4,"[""Bi"", ""N"", ""Nb"", ""O""]","{""Bi"": 1.0, ""N"": 2.0, ""Nb"": 1.0, ""O"": 1.0}",5,1.46
10184,Y1 V1 N1 O1 F1,YVNOF,ABCDE,F-N-O-V-Y,5,"[""F"", ""N"", ""O"", ""V"", ""Y""]","{""F"": 1.0, ""N"": 1.0, ""O"": 1.0, ""V"": 1.0, ""Y"": 1.0}",5,0.74
10185,In1 Co1 N3,InCoN3,ABC3,Co-In-N,3,"[""Co"", ""In"", ""N""]","{""Co"": 1.0, ""In"": 1.0, ""N"": 3.0}",5,1.42
10186,In1 Re1 S1 O2,InReSO2,ABCD2,In-O-Re-S,4,"[""In"", ""O"", ""Re"", ""S""]","{""In"": 1.0, ""O"": 2.0, ""Re"": 1.0, ""S"": 1.0}",5,1.34
10187,Si1 Mo1 N2 O1,SiMoN2O,ABCD2,Mo-N-O-Si,4,"[""Mo"", ""N"", ""O"", ""Si""]","{""Mo"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Si"": 1.0}",5,0.82
10188,Ti1 Al1 O3,TiAlO3,ABC3,Al-O-Ti,3,"[""Al"", ""O"", ""Ti""]","{""Al"": 1.0, ""O"": 3.0, ""Ti"": 1.0}",5,0.38
10189,Y1 Mn1 N1 O2,YMnNO2,ABCD2,Mn-N-O-Y,4,"[""Mn"", ""N"", ""O"", ""Y""]","{""Mn"": 1.0, ""N"": 1.0, ""O"": 2.0, ""Y"": 1.0}",5,1.6
10190,Ba1 Pd1 N2 O1,BaPdN2O,ABCD2,Ba-N-O-Pd,4,"[""Ba"", ""N"", ""O"", ""Pd""]","{""Ba"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Pd"": 1.0}",5,2.98
10191,Os1 Au1 O2 F1,OsAuO2F,ABCD2,Au-F-O-Os,4,"[""Au"", ""F"", ""O"", ""Os""]","{""Au"": 1.0, ""F"": 1.0, ""O"": 2.0, ""Os"": 1.0}",5,2.38
10192,Fe1 Hg1 N2 O1,FeHgN2O,ABCD2,Fe-Hg-N-O,4,"[""Fe"", ""Hg"", ""N"", ""O""]","{""Fe"": 1.0, ""Hg"": 1.0, ""N"": 2.0, ""O"": 1.0}",5,1.52
10193,Ta1 Ag1 N2 O1,TaAgN2O,ABCD2,Ag-N-O-Ta,4,"[""Ag"", ""N"", ""O"", ""Ta""]","{""Ag"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Ta"": 1.0}",5,0.78
10194,Fe1 Ru1 S1 O2,FeRuSO2,ABCD2,Fe-O-Ru-S,4,"[""Fe"", ""O"", ""Ru"", ""S""]","{""Fe"": 1.0, ""O"": 2.0, ""Ru"": 1.0, ""S"": 1.0}",5,1.26
10195,Sr1 Hg1 N3,SrHgN3,ABC3,Hg-N-Sr,3,"[""Hg"", ""N"", ""Sr""]","{""Hg"": 1.0, ""N"": 3.0, ""Sr"": 1.0}",5,2.42
10196,Ta1 Mn1 N2 O1,TaMnN2O,ABCD2,Mn-N-O-Ta,4,"[""Mn"", ""N"", ""O"", ""Ta""]","{""Mn"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Ta"": 1.0}",5,0.36
10197,Hg1 B1 O2 F1,HgBO2F,ABCD2,B-F-Hg-O,4,"[""B"", ""F"", ""Hg"", ""O""]","{""B"": 1.0, ""F"": 1.0, ""Hg"": 1.0, ""O"": 2.0}",5,2.92
10198,Tl1 Ru1 S1 O2,TlRuSO2,ABCD2,O-Ru-S-Tl,4,"[""O"", ""Ru"", ""S"", ""Tl""]","{""O"": 2.0, ""Ru"": 1.0, ""S"": 1.0, ""Tl"": 1.0}",5,1.46
10199,Hf1 Pb1 S1 O2,HfPbSO2,ABCD2,Hf-O-Pb-S,4,"[""Hf"", ""O"", ""Pb"", ""S""]","{""Hf"": 1.0, ""O"": 2.0, ""Pb"": 1.0, ""S"": 1.0}",5,0.52
10200,Ag1 Ir1 N1 O1 F1,AgIrNOF,ABCDE,Ag-F-Ir-N-O,5,"[""Ag"", ""F"", ""Ir"", ""N"", ""O""]","{""Ag"": 1.0, ""F"": 1.0, ""Ir"": 1.0, ""N"": 1.0, ""O"": 1.0}",5,2.44
10201,Ti1 Hg1 S1 O2,TiHgSO2,ABCD2,Hg-O-S-Ti,4,"[""Hg"", ""O"", ""S"", ""Ti""]","{""Hg"": 1.0, ""O"": 2.0, ""S"": 1.0, ""Ti"": 1.0}",5,0.62
10202,Rb1 Y1 N1 O2,RbYNO2,ABCD2,N-O-Rb-Y,4,"[""N"", ""O"", ""Rb"", ""Y""]","{""N"": 1.0, ""O"": 2.0, ""Rb"": 1.0, ""Y"": 1.0}",5,1.08
10203,Ca1 Pd1 N2 O1,CaPdN2O,ABCD2,Ca-N-O-Pd,4,"[""Ca"", ""N"", ""O"", ""Pd""]","{""Ca"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Pd"": 1.0}",5,1.84
10204,Y1 Mo1 N1 O2,YMoNO2,ABCD2,Mo-N-O-Y,4,"[""Mo"", ""N"", ""O"", ""Y""]","{""Mo"": 1.0, ""N"": 1.0, ""O"": 2.0, ""Y"": 1.0}",5,1.96
10205,Y1 Zn1 N1 O2,YZnNO2,ABCD2,N-O-Y-Zn,4,"[""N"", ""O"", ""Y"", ""Zn""]","{""N"": 1.0, ""O"": 2.0, ""Y"": 1.0, ""Zn"": 1.0}",5,1.16
10206,Hg1 Ge1 N2 O1,HgGeN2O,ABCD2,Ge-Hg-N-O,4,"[""Ge"", ""Hg"", ""N"", ""O""]","{""Ge"": 1.0, ""Hg"": 1.0, ""N"": 2.0, ""O"": 1.0}",5,1.46
10207,Be1 Ni1 N1 O1 F1,BeNiNOF,ABCDE,Be-F-N-Ni-O,5,"[""Be"", ""F"", ""N"", ""Ni"", ""O""]","{""Be"": 1.0, ""F"": 1.0, ""N"": 1.0, ""Ni"": 1.0, ""O"": 1.0}",5,2.1
10208,Sr1 Au1 O2 F1,SrAuO2F,ABCD2,Au-F-O-Sr,4,"[""Au"", ""F"", ""O"", ""Sr""]","{""Au"": 1.0, ""F"": 1.0, ""O"": 2.0, ""Sr"": 1.0}",5,1.14
10209,Zn1 Hg1 O2 F1,ZnHgO2F,ABCD2,F-Hg-O-Zn,4,"[""F"", ""Hg"", ""O"", ""Zn""]","{""F"": 1.0, ""Hg"": 1.0, ""O"": 2.0, ""Zn"": 1.0}",5,1.6
10210,Ge1 Os1 N1 O2,GeOsNO2,ABCD2,Ge-N-O-Os,4,"[""Ge"", ""N"", ""O"", ""Os""]","{""Ge"": 1.0, ""N"": 1.0, ""O"": 2.0, ""Os"": 1.0}",5,1.14
10211,Mo1 Pt1 S1 O2,MoPtSO2,ABCD2,Mo-O-Pt-S,4,"[""Mo"", ""O"", ""Pt"", ""S""]","{""Mo"": 1.0, ""O"": 2.0, ""Pt"": 1.0, ""S"": 1.0}",5,0.98
10212,Rb1 Mg1 O3,RbMgO3,ABC3,Mg-O-Rb,3,"[""Mg"", ""O"", ""Rb""]","{""Mg"": 1.0, ""O"": 3.0, ""Rb"": 1.0}",5,2.48
10213,Ir1 Rh1 S1 O2,IrRhSO2,ABCD2,Ir-O-Rh-S,4,"[""Ir"", ""O"", ""Rh"", ""S""]","{""Ir"": 1.0, ""O"": 2.0, ""Rh"": 1.0, ""S"": 1.0}",5,1.38
10214,K1 La1 O3,KLaO3,ABC3,K-La-O,3,"[""K"", ""La"", ""O""]","{""K"": 1.0, ""La"": 1.0, ""O"": 3.0}",5,0.7
10215,Hf1 Co1 N1 O1 F1,HfCoNOF,ABCDE,Co-F-Hf-N-O,5,"[""Co"", ""F"", ""Hf"", ""N"", ""O""]","{""Co"": 1.0, ""F"": 1.0, ""Hf"": 1.0, ""N"": 1.0, ""O"": 1.0}",5,1.38
10216,Na1 Pt1 S1 O2,NaPtSO2,ABCD2,Na-O-Pt-S,4,"[""Na"", ""O"", ""Pt"", ""S""]","{""Na"": 1.0, ""O"": 2.0, ""Pt"": 1.0, ""S"": 1.0}",5,1.54
10217,Na1 Ta1 N2 O1,NaTaN2O,ABCD2,N-Na-O-Ta,4,"[""N"", ""Na"", ""O"", ""Ta""]","{""N"": 2.0, ""Na"": 1.0, ""O"": 1.0, ""Ta"": 1.0}",5,2.04
10218,Y1 Nb1 N3,YNbN3,ABC3,N-Nb-Y,3,"[""N"", ""Nb"", ""Y""]","{""N"": 3.0, ""Nb"": 1.0, ""Y"": 1.0}",5,2.34
10219,Sc1 As1 N1 O1 F1,ScAsNOF,ABCDE,As-F-N-O-Sc,5,"[""As"", ""F"", ""N"", ""O"", ""Sc""]","{""As"": 1.0, ""F"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Sc"": 1.0}",5,1.32
10220,Sr1 As1 N2 O1,SrAsN2O,ABCD2,As-N-O-Sr,4,"[""As"", ""N"", ""O"", ""Sr""]","{""As"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Sr"": 1.0}",5,1.3
10221,Nb1 Co1 O2 F1,NbCoO2F,ABCD2,Co-F-Nb-O,4,"[""Co"", ""F"", ""Nb"", ""O""]","{""Co"": 1.0, ""F"": 1.0, ""Nb"": 1.0, ""O"": 2.0}",5,1.16
10222,Ag1 As1 O3,AgAsO3,ABC3,Ag-As-O,3,"[""Ag"", ""As"", ""O""]","{""Ag"": 1.0, ""As"": 1.0, ""O"": 3.0}",5,1.12
10223,Li1 Y1 N1 O2,LiYNO2,ABCD2,Li-N-O-Y,4,"[""Li"", ""N"", ""O"", ""Y""]","{""Li"": 1.0, ""N"": 1.0, ""O"": 2.0, ""Y"": 1.0}",5,1.44
10224,Cd1 Te1 O3,CdTeO3,ABC3,Cd-O-Te,3,"[""Cd"", ""O"", ""Te""]","{""Cd"": 1.0, ""O"": 3.0, ""Te"": 1.0}",5,0.88
10225,Bi1 Ru1 O3,BiRuO3,ABC3,Bi-O-Ru,3,"[""Bi"", ""O"", ""Ru""]","{""Bi"": 1.0, ""O"": 3.0, ""Ru"": 1.0}",5,1.72
10226,Be1 Te1 O2 F1,BeTeO2F,ABCD2,Be-F-O-Te,4,"[""Be"", ""F"", ""O"", ""Te""]","{""Be"": 1.0, ""F"": 1.0, ""O"": 2.0, ""Te"": 1.0}",5,1.94
10227,Y1 Cd1 O3,YCdO3,ABC3,Cd-O-Y,3,"[""Cd"", ""O"", ""Y""]","{""Cd"": 1.0, ""O"": 3.0, ""Y"": 1.0}",5,1.24
10228,Rb1 B1 O2 F1,RbBO2F,ABCD2,B-F-O-Rb,4,"[""B"", ""F"", ""O"", ""Rb""]","{""B"": 1.0, ""F"": 1.0, ""O"": 2.0, ""Rb"": 1.0}",5,1.44
10229,B1 Mo1 O2 F1,BMoO2F,ABCD2,B-F-Mo-O,4,"[""B"", ""F"", ""Mo"", ""O""]","{""B"": 1.0, ""F"": 1.0, ""Mo"": 1.0, ""O"": 2.0}",5,1.52
